Event,Swimmer,Time,Year
50 FREESTYLE  ,Travis McCauley  ,21.17,2021-22
100 FREESTYLE  ,Andrea Cibrario  ,46.49,2022-23
200 FREESTYLE  ,Kris Schultz,01:44.85,2022-23
500 FREESTYLE  ,Ean Helmlinger ,04:43.95,2022-23
1000 FREESTYLE  ,Ean Helmlinger ,09:53.90,2022-23
1650 FREESTYLE  ,Ean Helmlinger ,16:23.25,2022-23
100 BACKSTROKE  ,Cullen Beach  ,53.49,2021-22
200 BACKSTROKE  ,Andrea Cibrario  ,01:52.38,2022-23
100 BREASTSTROKE  ,Luke Wintersgill ,56.92,2022-23
200 BREASTSTROKE  ,Luke Wintersgill  ,02:05.88,2022-23
100 BUTTERFLY  ,Ben Beaudoin ,52.96,2022-23
200 BUTTERFLY  ,Andrea Cibrario,01:59.23,2022-23
100 INDIVIDUAL MEDLEY  ,Ben Beaudoin   ,56.96,2022-23
200 INDIVIDUAL MEDLEY  ,Andrea Cibrario ,01:52.42,2022-23
400 INDIVIDUAL MEDLEY  ,Andrea Cibrario ,04:03.19,2022-23
200 FREESTYLE RELAY  ,Ben Beaudoin; Thomas Rose; Andrea Cibrario; Jack Cataneo,01:26.71,2022-23
400 FREESTYLE RELAY  ,Ean Helmlinger; Kris Schultz; Ean Helmlinger; Kris Schultz,03:10.58,2022-23
800 FREESTYLE RELAY  ,Ean Helmlinger; Kris Schultz; Albert McNaull; Andrea Cibrario,06:59.20,2022-23
200 MEDLEY RELAY  ,Jack Cataneo; Luke Wintersgill; Ben Beaudoin; Andrea Cibrario,01:37.13,2022-23
400 MEDLEY RELAY  ,Jose Urdaneta; Luke Wintersgill; Ben Beaudoin; Andrea Cibrario,03:32.20,2022-23
Updated 2/17/2023,,,
