Event,Swimmer,Time,Year
50 FREESTYLE ,Carrie Crowther ,27.67,2013-14 
100 FREESTYLE ,Carrie Crowther ,01:01.28,2013-14 
200 FREESTYLE ,Carrie Crowther ,02:12.82,2013-14 
400 FREESTYLE ,Olivia Heeb-Wade ,04:48.07,2019-20 
800 FREESTYLE ,Olivia Heeb-Wade ,09:53.16,2019-20 
1500 FREESTYLE ,Olivia Heeb-Wade ,19:04.91,2019-20 
100 BACKSTROKE ,Isabelle Bauer ,01:08.40,2021-22 
200 BACKSTROKE ,Lexi Roberts ,02:31.21,2022-23 
100 BREASTSTROKE ,Isabelle Bauer ,01:18.41,2022-23
200 BREASTSTROKE ,Isabelle Bauer ,02:52.56,2021-22 
100 BUTTERFLY ,Eve Umberger ,01:08.79,2021-22 
200 BUTTERFLY ,Rachael King ,02:40.47,2018-19 
100 INDIVIDUAL MEDLEY ,Melia Ross ,01:11.15,2021-22 
200 INDIVIDUAL MEDLEY ,Emma Daw ,02:32.17,2016-17
400 INDIVIDUAL MEDLEY ,Emma Daw ,05:24.77,2016-17 
200 FREESTYLE RELAY  ,Abby Martin; Kate Tolone; Katelyn Wiglesworth; Katie Yoder,01:56.13,2022-23
400 FREESTYLE RELAY ,Katie Yoder; Katelyn Wiglesworth; Kate Tolone; Jess Touve,04:19.17,2021-22 
800 FREESTYLE RELAY ,Isabelle Bauer; Katie Roach; Katelyn Wiglesworth; Jess Touve,09:27.51,2021-22 
200 MEDLEY RELAY        ,Grace Warren; Isabelle Bauer; Melia Ross; Katelyn Wiglesworth,02:07.31,2022-23
400 MEDLEY RELAY ,Isabelle Bauer; Melia Ross; Alexis Roberts; Katelyn Wiglesworth,04:43.72,2021-22
Updated 2/17/2023,,,
