Event,Swimmer,Time,Year
50 FREESTYLE ,Carrie Crowther ,24.52,2013-14
100 FREESTYLE ,Isabelle Bauer ,53.33,2021-22
200 FREESTYLE ,Carrie Crowther ,01:56.35,2013-14
500 FREESTYLE ,Olivia Heeb-Wade ,05:18.78,2019-20
1000 FREESTYLE ,Olivia Heeb-Wade ,10:59.25,2019-20
1650 FREESTYLE ,Olivia Heeb-Wade ,18:09.36,2019-20
100 BACKSTROKE ,Kelley Hilliker ,59.57,2017-18
200 BACKSTROKE ,Kelley Hilliker ,02:12.74,2018-19
100 BREASTSTROKE ,Isabelle Bauer ,01:07.52,2022-23
200 BREASTSTROKE ,Emma Daw ,02:30.53,2016-17
100 BUTTERFLY ,Emily Townsend ,59.62,2015-16
200 BUTTERFLY ,Rachael King ,02:15.89,2017-18
100 INDIVIDUAL MEDLEY ,Katelyn Wiglesworth ,01:05.04,2021-22
200 INDIVIDUAL MEDLEY ,Emma Daw ,02:13.48,2017-18
400 INDIVIDUAL MEDLEY ,Kelley Hilliker ,04:47.42,2018-19
200 FREESTYLE RELAY ,Melia Ross; Katie Yoder; Katelyn Wiglesworth; Isabelle,01:39.40,2022-23
400 FREESTYLE RELAY ,Melia Ross; Katie Yoder; Katelyn Wiglesworth; Isabelle Bauer,03:36.79,2021-22
800 FREESTYLE RELAY  ,Isabelle Bauer; Eve Umberger; Katelyn Wiglesworth; Jess Touve,08:05.77,2021-22 
200 MEDLEY RELAY ,Kelley Hilliker; Emma Daw; Jordan Back; Laurel Glover ,01:51.61,2017-18 
400 MEDLEY RELAY ,Kelley Hilliker; Rachael King; Jenna Walmer; Emma Daw,04:05.65,2017-18
